ts,time,wall_time,mp_count.X,real_count.X,px.X,py.X,pz.X,KE.X,mp_count.X+,real_count.X+,px.X+,py.X+,pz.X+,KE.X+,PE,E_total
0,2e-07,0.0585776,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
1,4e-07,0.820636,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
2,6e-07,0.82518,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
3,8e-07,0.831127,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
4,1e-06,0.836364,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
5,1.2e-06,0.841256,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
6,1.4e-06,0.846053,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
7,1.6e-06,0.850829,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
8,1.8e-06,0.85536,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
9,2e-06,0.859536,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
10,2.2e-06,0.864132,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
11,2.4e-06,0.868334,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
12,2.6e-06,0.872699,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
13,2.8e-06,0.877083,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
14,3e-06,0.881504,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
15,3.2e-06,0.885927,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
16,3.4e-06,0.89073,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
17,3.6e-06,0.895308,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
18,3.8e-06,0.899624,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
19,4e-06,0.90428,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
20,4.2e-06,0.90858,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
21,4.4e-06,0.913321,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
22,4.6e-06,0.917602,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
23,4.8e-06,0.922155,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
24,5e-06,0.926547,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
25,5.2e-06,0.931227,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
26,5.4e-06,0.935357,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
27,5.6e-06,0.940184,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
28,5.8e-06,0.944626,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
29,6e-06,0.949393,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
30,6.2e-06,0.953599,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
31,6.4e-06,0.958059,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
32,6.6e-06,0.96261,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
33,6.8e-06,0.966971,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
34,7e-06,0.971184,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
35,7.2e-06,0.975343,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
36,7.4e-06,0.979985,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
37,7.6e-06,0.984388,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
38,7.8e-06,0.988858,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
39,8e-06,0.993365,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
40,8.2e-06,0.997964,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
41,8.4e-06,1.00247,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
42,8.6e-06,1.0067,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
43,8.8e-06,1.01105,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
44,9e-06,1.01519,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
45,9.2e-06,1.01932,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
46,9.4e-06,1.02377,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
47,9.6e-06,1.02851,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
48,9.8e-06,1.03283,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
49,1e-05,1.03733,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
50,1.02e-05,1.04123,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
51,1.04e-05,1.79955,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
52,1.06e-05,1.80252,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
53,1.08e-05,1.80537,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
54,1.1e-05,1.80992,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
55,1.12e-05,1.81406,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
56,1.14e-05,1.81734,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
57,1.16e-05,1.82145,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
58,1.18e-05,1.82674,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
59,1.2e-05,1.83132,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
60,1.22e-05,1.83584,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
61,1.24e-05,1.8404,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
62,1.26e-05,1.84503,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
63,1.28e-05,1.84968,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
64,1.3e-05,1.85439,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
65,1.32e-05,1.85876,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
66,1.34e-05,1.86415,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
67,1.36e-05,1.86936,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
68,1.38e-05,1.87482,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
69,1.4e-05,1.87986,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
70,1.42e-05,1.88433,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
71,1.44e-05,1.88928,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
72,1.46e-05,1.89428,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
73,1.48e-05,1.89859,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
74,1.5e-05,1.90323,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
75,1.52e-05,1.9077,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
76,1.54e-05,1.91237,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
77,1.56e-05,1.91653,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
78,1.58e-05,1.92116,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
79,1.6e-05,1.9253,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
80,1.62e-05,1.93049,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
81,1.64e-05,1.93496,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
82,1.66e-05,1.93941,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
83,1.68e-05,1.94345,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
84,1.7e-05,1.94776,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
85,1.72e-05,1.95158,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
86,1.74e-05,1.95626,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
87,1.76e-05,1.95993,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
88,1.78e-05,1.96419,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
89,1.8e-05,1.96793,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
90,1.82e-05,1.97234,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
91,1.84e-05,1.97696,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
92,1.86e-05,1.98203,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
93,1.88e-05,1.98665,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
94,1.9e-05,1.99085,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
95,1.92e-05,1.99497,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
96,1.94e-05,1.99916,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
97,1.96e-05,2.00332,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
98,1.98e-05,2.00794,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
99,2e-05,2.01256,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
100,2.02e-05,2.01709,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
101,2.04e-05,2.80416,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
102,2.06e-05,2.80784,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
103,2.08e-05,2.81217,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
104,2.1e-05,2.81641,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
105,2.12e-05,2.82064,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
106,2.14e-05,2.82552,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
107,2.16e-05,2.83116,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
108,2.18e-05,2.83609,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
109,2.2e-05,2.84068,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
110,2.22e-05,2.84536,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
111,2.24e-05,2.84982,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
112,2.26e-05,2.8546,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
113,2.28e-05,2.859,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
114,2.3e-05,2.86349,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
115,2.32e-05,2.86825,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
116,2.34e-05,2.87302,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
117,2.36e-05,2.87839,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
118,2.38e-05,2.88272,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
119,2.4e-05,2.88696,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
120,2.42e-05,2.89108,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
121,2.44e-05,2.89564,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
122,2.46e-05,2.8997,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
123,2.48e-05,2.90406,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
124,2.5e-05,2.90865,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
125,2.52e-05,2.91357,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
126,2.54e-05,2.91778,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
127,2.56e-05,2.92227,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
128,2.58e-05,2.92704,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
129,2.6e-05,2.93194,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
130,2.62e-05,2.9364,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
131,2.64e-05,2.94094,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
132,2.66e-05,2.94544,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
133,2.68e-05,2.95021,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
134,2.7e-05,2.95469,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
135,2.72e-05,2.95926,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
136,2.74e-05,2.9636,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
137,2.76e-05,2.96788,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
138,2.78e-05,2.97255,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
139,2.8e-05,2.97755,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
140,2.82e-05,2.98245,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
141,2.84e-05,2.98713,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
142,2.86e-05,2.99151,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
143,2.88e-05,2.9968,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
144,2.9e-05,3.00191,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
145,2.92e-05,3.00584,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
146,2.94e-05,3.00932,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
147,2.96e-05,3.01315,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
148,2.98e-05,3.01665,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
149,3e-05,3.02025,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
150,3.02e-05,3.02481,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
151,3.04e-05,3.74643,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
152,3.06e-05,3.75054,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
153,3.08e-05,3.75641,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
154,3.1e-05,3.76117,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
155,3.12e-05,3.76554,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
156,3.14e-05,3.77045,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
157,3.16e-05,3.77453,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
158,3.18e-05,3.77891,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
159,3.2e-05,3.78308,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
160,3.22e-05,3.78716,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
161,3.24e-05,3.79114,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
162,3.26e-05,3.79533,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
163,3.28e-05,3.79925,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
164,3.3e-05,3.80315,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
165,3.32e-05,3.80758,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
166,3.34e-05,3.81189,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
